år 2002;år 2003;år 2004;år 2005;år 2006;år 2007;år 2008;år 2009;år 2010;år 2011;år 2012;år 2013;år 2014;år 2015;år 2016;år 2017;år 2018;år 2019
1290 Kristianstad;taxi;73;76;101;103;110;99;125;131;134;145;166;170;173;176;191;236;255;250
1291 Simrishamn;taxi;18;18;14;11;10;11;9;9;9;8;7;7;5;5;6;6;6;8
1292 Ängelholm;taxi;31;30;30;31;34;29;26;26;26;28;30;31;28;30;32;30;35;34
1293 Hässleholm;taxi;33;29;26;24;26;27;20;20;22;20;20;22;18;24;22;23;28;34
1315 Hylte;taxi;20;21;22;19;19;19;13;14;11;9;10;11;11;12;9;9;4;4
1380 Halmstad;taxi;79;78;78;85;92;104;108;114;120;132;131;134;130;127;132;129;144;144
1381 Laholm;taxi;29;32;39;36;33;29;29;28;19;16;16;16;16;13;13;9;13;16
1382 Falkenberg;taxi;37;34;44;40;39;41;42;36;42;45;41;40;41;54;54;54;88;82
1383 Varberg;taxi;45;45;47;48;47;54;55;57;66;58;60;66;70;72;55;55;59;58
1384 Kungsbacka;taxi;110;120;112;100;98;101;96;90;84;81;51;54;51;51;50;50;47;54
1401 Härryda;taxi;32;27;23;43;42;21;21;25;20;24;26;26;23;23;17;17;12;15
1402 Partille;taxi;39;37;35;34;32;31;23;20;16;20;24;24;24;27;50;46;78;106
1407 Öckerö;taxi;10;10;10;11;12;12;12;12;11;11;3;5;5;6;2;1;1;1
1415 Stenungsund;taxi;24;37;36;20;22;24;14;15;15;14;14;15;13;13;13;13;13;14
1419 Tjörn;taxi;29;22;27;27;23;15;21;25;31;37;34;35;32;32;32;32;31;17
1421 Orust;taxi;5;5;6;5;7;6;6;6;4;5;4;2;3;6;6;6;2;2
1427 Sotenäs;taxi;10;9;9;5;6;7;6;6;6;7;8;8;8;7;5;6;5;5
1430 Munkedal;taxi;12;12;15;13;11;17;24;34;39;47;51;49;50;50;46;49;49;47
1435 Tanum;taxi;12;12;10;10;11;10;9;10;10;10;10;9;10;14;11;13;13;14
1438 Dals-Ed;taxi;6;7;8;8;9;8;8;7;8;9;5;3;3;2;2;3;3;2
1439 Färgelanda;taxi;17;20;19;16;9;7;7;7;7;8;4;4;4;4;4;4;2;2
1440 Ale;taxi;37;35;35;33;33;38;34;29;30;33;34;31;41;40;39;40;39;42
1441 Lerum;taxi;44;46;42;41;36;34;33;35;36;34;37;25;26;24;23;23;25;30
1442 Vårgårda;taxi;23;22;17;18;21;21;20;21;18;16;32;10;8;6;5;9;8;12
1443 Bollebygd;taxi;5;6;5;4;4;6;2;1;0;1;1;1;1;1;1;1;1;1
1444 Grästorp;taxi;11;11;11;11;11;10;9;10;10;10;9;8;7;12;13;11;27;26
1445 Essunga;taxi;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;..
1446 Karlsborg;taxi;5;5;7;5;6;2;2;2;3;3;3;3;3;3;2;1;1;..
1447 Gullspång;taxi;8;8;8;7;7;6;6;5;2;2;2;2;2;1;1;1;3;2
1452 Tranemo;taxi;12;13;18;16;22;24;21;19;18;19;19;21;20;16;20;19;2;1
1460 Bengtsfors;taxi;10;11;21;27;29;35;25;24;24;19;19;22;22;21;7;7;7;7
1461 Mellerud;taxi;3;4;5;4;3;2;2;2;1;1;0;0;0;0;..;..;..;..
1462 Lilla Edet;taxi;21;27;23;24;24;19;25;24;16;15;13;7;9;9;10;7;5;5
1463 Mark;taxi;40;34;41;35;31;32;27;27;21;31;29;21;21;9;9;10;10;13
1465 Svenljunga;taxi;21;19;21;22;17;16;16;10;8;7;6;6;5;2;2;1;4;4
1466 Herrljunga;taxi;13;11;11;11;11;11;11;13;19;17;16;17;16;11;11;8;6;6
1470 Vara;taxi;18;18;16;15;8;7;7;6;5;6;10;8;8;9;8;10;14;12
1471 Götene;taxi;12;10;10;7;9;9;6;5;5;5;4;3;3;1;2;2;..;..
1472 Tibro;taxi;8;9;9;9;9;9;8;7;7;7;6;5;5;5;4;5;2;2
1473 Töreboda;taxi;6;6;6;6;5;5;4;6;4;4;4;4;3;3;5;4;3;2
1480 Göteborg;taxi;861;834;882;902;985;1087;1003;986;1018;1144;1260;1205;1217;1234;1458;1481;1533;1601
1481 Mölndal;taxi;70;73;60;57;60;64;51;62;54;55;66;75;72;67;55;62;61;56
1482 Kungälv;taxi;36;34;35;30;32;32;34;37;37;38;31;34;40;37;38;36;33;32
1484 Lysekil;taxi;14;14;14;13;13;12;12;11;12;11;11;12;12;11;12;11;9;8
1485 Uddevalla;taxi;46;38;37;38;38;38;42;45;46;46;62;60;83;81;77;93;83;95
1486 Strömstad;taxi;11;11;12;12;11;10;11;11;10;10;10;11;11;11;9;11;11;11
1487 Vänersborg;taxi;31;47;51;51;54;67;59;57;23;54;46;44;20;19;19;20;17;15
1488 Trollhättan;taxi;53;52;44;51;55;66;59;55;63;70;89;96;97;104;105;111;121;130
1489 Alingsås;taxi;38;28;34;39;28;35;34;34;42;46;48;60;59;65;64;55;58;54
1490 Borås;taxi;84;83;84;83;91;99;104;114;109;111;127;128;121;120;124;114;106;114
1491 Ulricehamn;taxi;22;23;25;21;20;24;31;27;22;22;25;25;27;28;29;28;24;26
1492 Åmål;taxi;14;14;16;13;14;18;18;14;16;17;17;18;15;15;18;16;22;22
1493 Mariestad;taxi;18;19;21;26;21;25;25;25;27;29;30;26;21;21;20;20;19;19
1494 Lidköping;taxi;52;48;44;43;50;62;57;53;55;55;62;58;54;55;59;61;64;76
1495 Skara;taxi;15;21;23;23;23;25;26;26;28;23;12;7;10;11;10;10;..;..
1496 Skövde;taxi;51;54;45;46;49;62;48;42;36;42;63;62;63;60;63;60;82;68
1497 Hjo;taxi;7;7;7;7;7;10;9;9;9;8;8;8;8;8;8;9;9;9
1498 Tidaholm;taxi;12;12;12;11;11;10;9;8;8;8;6;11;11;13;13;14;15;4
1499 Falköping;taxi;31;31;29;35;37;40;39;45;45;46;60;61;71;71;69;60;58;67
1715 Kil;taxi;17;12;11;9;8;8;8;7;11;12;13;14;14;17;19;19;14;14
1730 Eda;taxi;13;8;11;16;12;13;8;8;8;6;5;5;5;3;3;3;3;3
1737 Torsby;taxi;16;15;18;14;14;15;16;15;14;14;14;11;10;12;3;2;2;..
1760 Storfors;taxi;2;2;2;1;1;2;2;2;2;2;2;1;2;3;3;..;..;..
1761 Hammarö;taxi;10;8;7;7;7;7;12;7;6;7;7;7;7;9;9;10;14;15
1762 Munkfors;taxi;3;3;3;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..
1763 Forshaga;taxi;1;2;2;2;2;2;4;1;2;2;1;0;0;0;..;..;..;..
1764 Grums;taxi;12;12;14;13;10;10;10;10;9;10;10;12;12;12;10;12;12;14
1765 Årjäng;taxi;16;17;14;15;13;10;8;8;8;5;5;5;5;5;5;7;8;9
1766 Sunne;taxi;14;11;11;12;10;11;10;10;11;12;9;7;6;6;5;2;1;..
1780 Karlstad;taxi;97;105;103;110;118;126;119;135;133;138;130;129;122;121;116;119;118;121
1781 Kristinehamn;taxi;56;50;57;57;57;55;62;63;62;70;65;66;62;62;30;38;44;40
1782 Filipstad;taxi;5;5;4;3;1;1;1;1;1;2;2;2;2;1;3;3;2;1
1783 Hagfors;taxi;8;8;10;8;8;8;8;8;8;6;6;6;4;4;4;4;2;4
1784 Arvika;taxi;27;27;24;19;22;23;26;30;27;39;43;39;52;46;26;26;39;44
1785 Säffle;taxi;12;12;9;10;7;8;9;9;9;3;4;4;5;3;5;7;5;6
1814 Lekeberg;taxi;6;6;5;5;5;6;7;8;8;8;7;7;9;9;7;5;6;6
1860 Laxå;taxi;11;12;14;15;12;10;10;13;13;13;13;13;2;1;1;..;..;..
1861 Hallsberg;taxi;24;25;27;15;17;17;17;13;14;9;7;6;9;8;12;12;10;7
1862 Degerfors;taxi;7;7;5;6;5;6;7;6;6;5;6;6;5;5;4;11;12;12
1863 Hällefors;taxi;11;11;10;10;11;10;10;9;8;7;7;7;6;7;7;9;3;4
1864 Ljusnarsberg;taxi;7;7;7;8;6;7;7;4;2;2;2;1;0;0;..;..;..;..
1880 Örebro;taxi;112;118;143;169;182;196;196;216;219;253;258;272;260;262;356;329;332;461
1881 Kumla;taxi;5;4;6;4;6;8;8;6;6;6;3;3;4;2;4;7;11;10
1882 Askersund;taxi;15;14;14;12;14;15;14;14;15;16;18;18;12;7;8;10;10;9
1883 Karlskoga;taxi;19;19;22;22;22;23;22;21;22;21;22;22;19;17;14;13;12;14
1884 Nora;taxi;15;15;15;12;12;13;13;14;17;18;15;14;5;7;9;9;9;17
1885 Lindesberg;taxi;29;28;35;40;40;34;30;27;25;23;21;16;27;28;29;29;33;36
1904 Skinnskatteberg;taxi;6;6;6;5;6;6;6;6;6;6;6;6;7;7;7;7;7;5
1907 Surahammar;taxi;7;5;9;8;8;9;8;6;6;6;5;4;4;3;2;2;2;1
1960 Kungsör;taxi;8;2;1;1;1;1;1;1;1;1;0;3;3;4;4;6;6;15
1961 Hallstahammar;taxi;23;10;21;24;22;22;23;4;4;3;3;3;3;2;..;7;6;6
1962 Norberg;taxi;7;7;12;13;14;16;17;16;17;17;14;11;9;6;14;8;18;8
1980 Västerås;taxi;137;155;156;143;155;160;169;208;212;244;246;259;258;253;246;257;218;226
1981 Sala;taxi;26;22;18;17;26;22;22;21;20;20;13;6;16;19;9;5;2;7
1982 Fagersta;taxi;9;9;9;10;10;11;11;11;11;14;14;15;17;19;19;20;20;20
1983 Köping;taxi;11;13;15;14;16;14;12;14;12;12;13;12;17;18;17;28;33;5
1984 Arboga;taxi;17;23;22;20;17;14;15;15;15;18;14;14;13;13;13;10;17;18
2021 Vansbro;taxi;5;4;4;5;5;6;5;5;6;6;6;5;4;5;5;3;3;5
2023 Malung-Sälen;taxi;50;54;52;55;56;55;59;57;51;50;45;47;52;47;45;46;41;32
2026 Gagnef;taxi;4;5;2;2;2;1;1;0;0;0;0;1;0;0;1;1;1;1
2029 Leksand;taxi;11;12;12;11;11;5;1;1;6;4;4;1;0;0;..;..;..;..
2031 Rättvik;taxi;14;16;15;13;12;2;2;1;1;1;1;1;2;2;1;1;..;..
2034 Orsa;taxi;9;7;8;9;12;34;33;31;30;33;38;41;62;57;53;49;50;49
2039 Älvdalen;taxi;13;12;11;5;5;7;7;7;8;8;7;7;10;10;8;8;8;8
2061 Smedjebacken;taxi;9;7;8;6;4;4;4;2;2;2;3;3;3;2;2;2;1;1
2062 Mora;taxi;13;11;11;12;11;6;9;9;10;10;8;6;7;8;6;5;5;5
2080 Falun;taxi;58;65;71;72;72;63;64;64;63;62;65;67;85;71;70;70;74;78
2081 Borlänge;taxi;26;49;42;38;26;31;29;29;30;33;31;29;43;47;55;58;64;59
2082 Säter;taxi;5;6;6;6;6;5;4;4;4;0;0;0;1;1;1;2;1;1
2083 Hedemora;taxi;16;14;14;16;16;16;17;16;16;16;19;16;2;0;..;..;1;..
2084 Avesta;taxi;18;19;17;15;12;25;24;24;19;22;24;21;39;43;41;41;38;36
2085 Ludvika;taxi;36;39;40;35;39;45;37;41;39;35;35;33;33;33;33;33;30;27
2101 Ockelbo;taxi;9;9;9;9;9;9;9;9;8;9;8;9;8;6;6;6;6;6
2104 Hofors;taxi;5;3;2;2;2;1;1;3;3;3;2;3;3;3;3;3;3;2
2121 Ovanåker;taxi;12;11;9;8;8;9;5;5;5;4;4;4;5;4;2;2;2;1
2132 Nordanstig;taxi;12;10;11;10;11;10;8;8;10;11;10;9;9;9;6;9;14;16
2161 Ljusdal;taxi;18;18;22;18;20;23;21;19;18;14;12;12;12;10;12;12;9;10
2180 Gävle;taxi;107;99;101;103;106;111;125;117;118;130;138;138;139;142;157;151;157;152
2181 Sandviken;taxi;26;35;47;46;48;50;48;52;51;48;52;52;50;42;42;42;42;39
2182 Söderhamn;taxi;32;29;28;31;31;27;30;32;31;26;26;23;20;23;22;21;24;26
2183 Bollnäs;taxi;22;23;26;25;27;26;22;22;24;28;27;24;21;20;22;20;21;23
2184 Hudiksvall;taxi;35;34;38;41;42;40;36;40;38;34;36;34;38;35;46;47;45;47
2260 Ånge;taxi;21;19;17;15;15;15;14;13;15;16;18;17;17;18;16;17;17;20
2262 Timrå;taxi;21;15;18;17;14;15;15;14;16;17;17;19;14;20;16;20;22;24
2280 Härnösand;taxi;24;23;24;24;27;28;30;29;30;35;33;33;33;33;28;29;31;31
2281 Sundsvall;taxi;114;118;118;118;129;136;141;131;132;139;140;143;148;148;140;127;120;106
2282 Kramfors;taxi;37;35;31;31;34;37;42;38;41;40;43;46;46;45;44;42;48;48
2283 Sollefteå;taxi;41;42;44;42;43;44;44;38;34;32;33;39;41;26;19;22;19;23
2284 Örnsköldsvik;taxi;63;67;73;62;65;69;58;59;60;62;65;62;59;64;61;66;68;69
2303 Ragunda;taxi;16;15;16;16;16;15;18;17;18;17;17;20;19;19;19;11;10;10
2305 Bräcke;taxi;16;11;12;11;11;9;5;4;4;4;3;1;1;1;1;1;1;..
2309 Krokom;taxi;32;30;27;25;27;27;26;27;27;29;28;29;26;29;29;24;23;21
2313 Strömsund;taxi;44;45;47;41;36;37;33;35;33;31;29;24;25;25;29;29;30;28
2321 Åre;taxi;45;46;49;56;58;68;62;63;63;63;61;61;54;54;55;50;53;94
2326 Berg;taxi;24;23;22;23;24;24;23;25;22;18;18;18;19;19;18;21;20;15
2361 Härjedalen;taxi;31;27;28;24;25;29;25;26;25;12;16;23;23;23;22;29;29;29
2380 Östersund;taxi;68;70;69;62;57;62;63;57;55;59;64;58;66;68;68;68;56;28
2401 Nordmaling;taxi;20;18;16;16;14;11;11;10;10;9;9;10;11;11;12;10;7;..
2403 Bjurholm;taxi;7;6;7;7;7;7;7;6;6;6;6;5;2;2;2;2;2;2
2404 Vindeln;taxi;11;11;13;10;10;6;8;8;4;3;3;3;3;2;5;4;4;4
2409 Robertsfors;taxi;24;19;19;17;16;15;15;15;15;16;13;13;12;12;9;9;12;11
2417 Norsjö;taxi;16;14;17;16;17;15;12;9;9;11;10;10;10;10;10;10;9;8
2418 Malå;taxi;3;3;3;3;3;3;4;4;6;6;6;5;6;5;5;5;6;7
2421 Storuman;taxi;19;15;15;15;16;15;13;14;13;10;12;11;13;11;11;11;12;12
2422 Sorsele;taxi;16;19;15;16;15;15;15;15;14;15;14;10;13;12;13;13;12;15
2425 Dorotea;taxi;10;9;11;8;8;9;9;9;9;7;7;7;6;5;5;5;5;5
2460 Vännäs;taxi;10;11;12;9;9;11;11;10;15;15;15;9;6;7;6;6;6;5
2462 Vilhelmina;taxi;21;22;21;20;20;20;21;20;18;20;18;19;20;20;22;19;16;19
2463 Åsele;taxi;15;15;18;18;18;17;17;16;16;14;15;14;14;16;17;18;18;9
2480 Umeå;taxi;137;142;148;155;166;175;183;194;194;192;188;187;183;196;203;207;238;252
2481 Lycksele;taxi;17;17;17;17;18;19;19;20;20;21;22;22;22;22;23;24;23;25
2482 Skellefteå;taxi;69;63;73;71;74;77;74;77;83;83;82;83;79;86;91;91;98;93
2505 Arvidsjaur;taxi;13;15;13;13;12;14;11;13;12;11;10;9;10;11;11;11;11;7
2506 Arjeplog;taxi;16;14;14;14;13;11;10;12;12;17;26;31;28;31;27;21;20;9
2510 Jokkmokk;taxi;9;9;10;12;13;13;12;11;8;8;8;7;7;7;7;7;7;7
2513 Överkalix;taxi;9;8;8;11;9;10;9;9;9;8;8;10;10;8;15;17;16;9
2514 Kalix;taxi;23;21;26;25;24;24;24;22;22;23;21;20;19;25;24;27;26;27
2518 Övertorneå;taxi;16;15;15;15;14;15;18;16;13;14;14;13;13;11;7;8;8;8
2521 Pajala;taxi;24;25;25;23;24;21;22;23;20;24;25;26;25;29;24;20;18;20
2523 Gällivare;taxi;44;42;38;31;32;31;28;31;32;29;30;24;26;32;31;30;19;15
2560 Älvsbyn;taxi;13;14;13;10;12;12;12;13;18;20;20;23;23;23;23;24;24;22
2580 Luleå;taxi;101;105;108;106;112;114;110;116;112;106;105;107;118;107;112;128;122;138
2581 Piteå;taxi;52;49;52;57;58;52;53;55;54;47;49;48;55;56;54;55;60;53
2582 Boden;taxi;40;38;39;36;41;41;41;43;45;41;39;39;36;40;39;41;42;35
2583 Haparanda;taxi;11;10;11;11;11;12;12;12;12;12;13;13;13;13;11;11;10;11
2584 Kiruna;taxi;37;46;49;48;44;45;44;47;45;45;45;47;50;47;39;39;37;38
